time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance
1,4,421,2048,23.90780890909091,182.36363636363637,,,,,,,,,,
2,4,887,4096,22.84791786363636,179.5,6.516397622227669,-4.615073144435883,10,1e-05,2.554743528366089,9.2502625e-05,-0.0022654182350379413,0.0,0.2,-0.21876859664916992
3,4,1357,6144,23.094530676470587,177.02941176470588,5.805735909938813,-4.614957492053509,20,1e-05,2.8026721477508545,0.00013189891,-0.0026387172663817184,0.0,0.2,-0.10145115852355957
4,4,1812,8192,23.13016448888889,178.4,7.503361058235169,-4.6148290693759915,30,1e-05,3.4696292877197266,0.00014204852,-0.0031272717998945153,0.0,0.2,0.08592307567596436
5,4,2287,10240,23.65912698245614,178.80701754385964,6.160861103981733,-4.614697478711605,40,1e-05,3.2452850341796875,0.00018819908,-0.003324110859830398,0.0,0.2,0.07877743244171143
6,4,2761,12288,22.898341913043485,176.9855072463768,6.49852044582367,-4.614611585438252,50,1e-05,3.037100315093994,9.234701e-05,-0.0023949490998347754,0.0,0.2,0.03445559740066528
7,4,3222,14336,23.353150149999998,177.725,4.57224093824625,-4.614549340307713,60,1e-05,2.186957836151123,8.443248e-05,-0.0019536641630111262,0.0,0.2,0.010624587535858154
8,4,3691,16384,23.30724981318681,178.0879120879121,6.907545455545187,-4.614491020143032,70,1e-05,2.628847360610962,6.01988e-05,-0.0017466646808316,0.0,0.2,-0.035939931869506836
9,4,4154,18432,22.996047120000004,178.62,6.761876440048217,-4.614483435451985,80,1e-05,2.737793207168579,9.926307e-05,-0.0023548239376395943,0.0,0.2,-0.022202730178833008
10,4,4612,20480,22.95094062,179.64,3.613812867552042,-4.614451183378696,90,1e-05,1.2327229976654053,9.0827816e-05,-0.0019614728415035644,0.0,0.2,0.05529201030731201
11,4,5058,22528,22.686585990000005,180.0,6.369414228200912,-4.614346513152123,100,1e-05,3.2902166843414307,0.00011170941,-0.002387406014895532,0.0,0.2,-0.027950286865234375
12,4,5514,24576,22.668505749999994,180.56,4.330427930504084,-4.614189842343331,110,1e-05,2.6652495861053467,0.00018287185,-0.002828327621682547,0.0,0.2,0.015072107315063477
13,4,5973,26624,22.60498086,180.81,5.71615022867918,-4.614056776463985,120,1e-05,2.9126508235931396,8.098007e-05,-0.001982494004187174,0.0,0.2,-0.24740135669708252
14,4,6431,28672,22.476070110000002,183.47,5.247046285122633,-4.61397994607687,130,1e-05,2.8582026958465576,0.00010090333,-0.0022928109705389944,0.0,0.2,0.04435223340988159
15,4,6881,30720,22.572160749999995,183.31,4.958563980460167,-4.613945773243904,140,1e-05,2.308110475540161,8.168808e-05,-0.0020283041129005143,0.0,0.2,0.15696454048156738
16,4,7346,32768,22.246227759999996,182.0,5.130918210744857,-4.613865485787391,150,1e-05,2.528865098953247,0.00010058316,-0.002323853733832948,0.0,0.2,0.28049540519714355
17,4,7798,34816,22.63936294000001,181.35,5.840999076515436,-4.613754864037037,160,1e-05,3.760692596435547,7.6748984e-05,-0.0019356134464032948,0.0,0.2,-0.04469418525695801
18,4,8249,36864,23.689132699999995,182.85,8.958566004037857,-4.613651107251644,170,1e-05,4.008007049560547,5.3252617e-05,-0.0015967932165949605,0.0,0.2,-0.005310177803039551
19,4,8704,38912,23.625176240000005,182.35,7.956276673078537,-4.613563664257526,180,1e-05,3.479783058166504,8.332159e-05,-0.0019161050280672499,0.0,0.2,-0.13614678382873535
20,4,9163,40960,24.049477890000002,181.04,6.958434118330478,-4.6133839845657345,190,1e-05,3.0998454093933105,0.00010103843,-0.0023509200553235134,0.0,0.2,-0.2567756175994873
21,4,9618,43008,24.013533020000004,180.23,6.518260829150677,-4.613165554404259,200,1e-05,4.112171173095703,0.0001290371,-0.0025568599550751967,0.0,0.2,0.10025382041931152
22,4,10086,45056,23.67012525,177.9,4.999437701702118,-4.613075889647007,210,1e-05,2.0362911224365234,7.520121e-05,-0.0018381379522907082,0.0,0.2,0.022462964057922363
23,4,10538,47104,23.56683283,177.66,5.442945022881031,-4.613010138273239,220,1e-05,2.5771524906158447,0.0001185741,-0.002409909892594442,0.0,0.2,0.1475309133529663
24,4,11010,49152,23.670333299999996,174.73,4.388639268279076,-4.612899236381054,230,1e-05,2.1053881645202637,7.8111916e-05,-0.0018209530484455173,0.0,0.2,0.06109803915023804
25,4,11461,51200,22.979868850000006,174.65,6.39647037088871,-4.612878812849521,240,1e-05,2.9024152755737305,7.478168e-05,-0.0018452557997079566,0.0,0.2,0.23675745725631714
26,4,11915,53248,22.795524950000004,175.83,4.783944214880466,-4.612787303328514,250,1e-05,2.166332483291626,0.00011729734,-0.002311308246862609,0.0,0.2,0.01724141836166382
27,4,12353,55296,22.426640559999996,174.29,5.3338799245655535,-4.612599276006222,260,1e-05,2.9827303886413574,0.00014676078,-0.002744870235619601,0.0,0.2,0.06628352403640747
28,4,12804,57344,22.439255190000008,176.66,6.921837396919727,-4.612490241229534,270,1e-05,2.7530288696289062,7.3178555e-05,-0.001991640287451446,0.0,0.2,0.23240303993225098
29,4,13265,59392,22.241138349999996,177.4,4.908137371391058,-4.612467281520367,280,1e-05,1.6942228078842163,0.00014594398,-0.002750313820433803,0.0,0.2,0.24480688571929932
30,4,13730,61440,22.38338387,177.89,4.996862033754587,-4.6125806212425235,290,1e-05,2.285891056060791,9.7061275e-05,-0.0022118996777862774,0.0,0.2,0.42002254724502563
