time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
2048,168.75,-142.22918299999998,1,4,452,,,,,,,,,,
4096,159.88,-130.74390248,2,4,908,8.682409e-05,-0.04062342643737793,0.0,175.16857323646545,1e-05,-0.001677174559881678,10,0.2,-3.9317700788378716,86.97137451171875
6144,159.52631578947367,-126.68394205263156,3,4,1368,5.317488e-05,0.02162998914718628,0.0,160.45188999176025,1e-05,-0.00119323379767593,20,0.2,-3.931671277433634,69.73467254638672
8192,149.11111111111111,-117.753122037037,4,4,1860,9.826434e-05,0.0015145540237426758,0.0,146.18077549934387,1e-05,-0.0016527130675967783,30,0.2,-3.9315885111689566,73.93544006347656
10240,147.43478260869566,-118.09675878260869,5,4,2332,7.793444e-05,-0.009926795959472656,0.0,140.76820559501647,1e-05,-0.0016342574686859733,40,0.2,-3.9314913257956503,75.66288757324219
12288,149.5,-116.38713245121949,6,4,2794,6.355409e-05,0.02461087703704834,0.0,169.46588764190673,1e-05,-0.0014619524605222977,50,0.2,-3.9313812077045442,80.36494445800781
14336,149.98947368421054,-117.68542321052634,7,4,3262,0.00010950587,-0.01620304584503174,0.0,124.97417554855346,1e-05,-0.0015907785978924948,60,0.2,-3.9312468491494656,63.34138107299805
16384,145.13,-116.60004543,8,4,3751,5.6952063e-05,-0.005319118499755859,0.0,167.16671509742736,1e-05,-0.001247534290450858,70,0.2,-3.9311139062047005,87.23072814941406
18432,146.36,-121.74887884,9,4,4219,5.3203228e-05,-0.0034759044647216797,0.0,224.63408098220825,1e-05,-0.0014003598058479837,80,0.2,-3.9310157097876073,104.26746368408203
20480,142.45,-123.55752344000003,10,4,4688,4.0379062e-05,-0.009493470191955566,0.0,236.31716885566712,1e-05,-0.001317332401231397,90,0.2,-3.930915154516697,117.92391204833984
22528,145.84,-130.86785698000003,11,4,5157,5.2692456e-05,-0.025542140007019043,0.0,227.2109091758728,1e-05,-0.0012947716357302852,100,0.2,-3.93079284876585,104.23016357421875
24576,144.67,-133.00004085,12,4,5627,6.171112e-05,-0.02411043643951416,0.0,233.2089985370636,1e-05,-0.0014299734131782316,110,0.2,-3.9306483641266823,122.5703353881836
26624,143.15,-138.37634288,13,4,6083,4.586723e-05,-0.013514041900634766,0.0,230.97447094917297,1e-05,-0.0012370682918117382,120,0.2,-3.930440553277731,121.060546875
28672,135.47,-134.45668874,14,4,6589,7.516451e-05,-0.04928910732269287,0.0,233.68109736442565,1e-05,-0.0015274297635187394,130,0.2,-3.9302668258547784,116.76423645019531
30720,134.44,-133.42680664,15,4,7066,7.459149e-05,-0.04105055332183838,0.0,215.46773810386657,1e-05,-0.0016586214318522253,140,0.2,-3.9296927765011787,92.29228973388672
32768,129.74,-128.72728831000003,16,4,7555,5.908945e-05,-0.018908023834228516,0.0,228.5834238052368,1e-05,-0.0013687991959159262,150,0.2,-3.929509148746729,121.04008483886719
34816,126.44,-125.42763738000002,17,4,8045,6.771242e-05,0.04419177770614624,0.0,223.1356210231781,1e-05,-0.001569065848889295,160,0.2,-3.929103260487318,119.55442810058594
36864,124.28,-123.26786953999999,18,4,8536,0.00011051886,0.007941007614135742,0.0,225.6300566673279,1e-05,-0.002139970098505728,170,0.2,-3.9287229485809805,113.41806030273438
38912,121.71,-120.6981373,19,4,9017,0.00010846756,0.08602267503738403,0.0,224.88178796768187,1e-05,-0.00212229499957175,180,0.2,-3.928011679649353,116.0273666381836
40960,122.69,-121.67805302999999,20,4,9522,6.960309e-05,0.043722689151763916,0.0,223.00129489898683,1e-05,-0.0017186987155582757,190,0.2,-3.9278990335762503,113.9356460571289
43008,116.54,-115.52866239000001,21,4,10028,7.101617e-05,0.0076348185539245605,0.0,220.46986503601073,1e-05,-0.0016102626570500434,200,0.2,-3.9272516638040544,112.09587097167969
45056,114.14,-113.12890678,22,4,10527,0.00011421711,-0.03491222858428955,0.0,215.88184938430786,1e-05,-0.0022943437499634454,210,0.2,-3.9262739196419716,113.84011840820312
47104,111.8,-110.78913831000004,23,4,11048,4.6488218e-05,0.014117121696472168,0.0,214.05899758338927,1e-05,-0.0012172569360700436,220,0.2,-3.925896792113781,104.33259582519531
