time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/approx_kl,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/loss
14,136,201.0,-1863933.7422912002,2048,1,,,,,,,,,,
12,325,193.28571428571428,-1837392.4982100953,4096,2,0.0,47780432377.6,1e-05,-2.4259730707854033e-06,0.0,0.2,10,-1.1920928955078125e-07,-4.615104721486569,26713802752.0
11,523,190.84375,-2973220.7059403127,6144,3,1.7462298e-10,59813415001.6,1e-05,-1.959312066901475e-06,0.0,0.2,20,0.0,-4.615104715526104,29359720448.0
11,713,189.65116279069767,-2836223.189212884,8192,4,0.0,526793317990.4,1e-05,-9.973737178370357e-07,0.0,0.2,30,1.1920928955078125e-07,-4.6151046976447105,218813857792.0
11,902,188.94444444444446,-2566492.704145,10240,5,0.0,119568405964.8,1e-05,-1.5470643120352178e-06,0.0,0.2,40,-1.1920928955078125e-07,-4.615104718506336,56781008896.0
11,1091,188.47692307692307,-2539363.1111879232,12288,6,0.0,58082800297.6,1e-05,-2.1739688236266375e-06,0.0,0.2,50,7.152557373046875e-07,-4.615104719996452,18061725696.0
11,1278,188.14473684210526,-2413087.3308916576,14336,7,0.0,159606216473.6,1e-05,-1.610687468200922e-06,0.0,0.2,60,7.152557373046875e-07,-4.615104722976684,57083781120.0
11,1468,187.89655172413794,-2699271.692504575,16384,8,1.7462298e-10,58274608153.6,1e-05,-2.4962217139545826e-06,0.0,0.2,70,1.3709068298339844e-06,-4.615104718506336,28345491456.0
11,1659,187.70408163265307,-2703691.7368954285,18432,9,0.0,1031591387980.8,1e-05,-6.121015758253634e-07,0.0,0.2,80,-7.152557373046875e-07,-4.615104719996452,763219214336.0
11,1845,186.34,-2719528.8057406098,20480,10,2.910383e-11,209238525465.6,1e-05,-9.0297035058029e-07,0.0,0.2,90,-8.344650268554688e-07,-4.615104700624943,141599719424.0
11,2029,186.33,-2604208.77550856,22528,11,4.3655746e-10,67497549030.4,1e-05,-2.578503335826099e-06,0.0,0.2,100,0.0,-4.615104719996452,45497970688.0
11,2219,187.96,-3642365.1232496994,24576,12,2.910383e-11,23759741374.4,1e-05,-3.8141803088365124e-06,0.0,0.2,110,-1.1920928955078125e-07,-4.615104730427265,4319981568.0
11,2410,188.34,-3790992.0661209803,26624,13,0.0,11179029194752.0,1e-05,-1.1280499165877699e-07,0.0,0.2,120,0.0,-4.615104719996452,4998437535744.0
11,2595,188.34,-3776514.99804903,28672,14,0.0,724229405619.2,1e-05,-8.736540621612221e-07,0.0,0.2,130,3.5762786865234375e-07,-4.615104730427265,285042638848.0
11,2787,188.34,-3879088.7524920106,30720,15,0.0,93651769024.0,1e-05,-1.8362916307523847e-06,0.0,0.2,140,-1.430511474609375e-06,-4.615104743838311,57999941632.0
11,2978,188.34,-4011231.5113851493,32768,16,0.0,231968150348.8,1e-05,-9.935873094946146e-07,0.0,0.2,150,3.5762786865234375e-07,-4.615104724466801,96164347904.0
10,3168,188.34,-3901515.293694141,34816,17,0.0,223150062796.8,1e-05,-1.3508455595001577e-06,0.0,0.2,160,9.5367431640625e-07,-4.615104730427265,148818919424.0
10,3362,188.34,-3878285.3791532298,36864,18,0.0,275283369011.2,1e-05,-8.304275979753584e-07,0.0,0.2,170,1.3709068298339844e-06,-4.615104733407497,226224947200.0
10,3544,189.97,-4246579.05280011,38912,19,0.0,193733859763.2,1e-05,-6.758593372069299e-07,0.0,0.2,180,3.4570693969726562e-06,-4.615104715526104,76360425472.0
10,3736,190.35,-4585723.26469834,40960,20,0.0,718254107904.0,1e-05,-8.175673428922892e-07,0.0,0.2,190,-1.0728836059570312e-06,-4.615104739367962,625793892352.0
10,3929,188.72,-3464089.957149689,43008,21,0.0,284823741542.4,1e-05,-1.0643299901857972e-06,0.0,0.2,200,-2.384185791015625e-07,-4.615104727447033,171247534080.0
10,4114,188.34,-3366706.6801354294,45056,22,0.0,161587091302.4,1e-05,-1.4893783372826875e-06,0.0,0.2,210,-1.0728836059570312e-06,-4.615104721486569,62634819584.0
10,4302,188.34,-3257468.057645289,47104,23,8.731149e-11,21950301324.8,1e-05,-3.7013000110164284e-06,0.0,0.2,220,-2.7418136596679688e-06,-4.61510473638773,9375794176.0
10,4494,188.34,-3286403.733759721,49152,24,0.0,249885089433.6,1e-05,-9.724069968797267e-07,0.0,0.2,230,-3.5762786865234375e-07,-4.6151047348976135,138145333248.0
10,4684,188.34,-3234176.9149573,51200,25,0.0,313664655001.6,1e-05,-7.905007805675269e-07,0.0,0.2,240,-1.1920928955078125e-06,-4.61510471701622,89668902912.0
