time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss
455,4,1,-113.8694910769231,2048,150.46153846153845,,,,,,,,,,
959,4,2,-109.06495248148147,4096,150.14814814814815,0.01928412914276123,9.604616e-05,0.0,78.90782928466797,-4.6150718301534654,1e-05,-0.002384169987635687,10,0.2,148.06861436367035
1462,4,3,-111.29729414634146,6144,148.0487804878049,0.009042799472808838,0.00010001086,0.0,68.76254272460938,-4.614978151023388,1e-05,-0.0024513316006050446,20,0.2,144.6206737756729
1952,4,4,-111.37184216666667,8192,151.64814814814815,-0.024272918701171875,8.809118e-05,0.0,85.65493774414062,-4.614875331521034,1e-05,-0.00227273749478627,30,0.2,154.41612801551818
2444,4,5,-115.66126843939392,10240,152.9090909090909,0.00040531158447265625,0.00011457107,0.0,71.03060913085938,-4.614742910861969,1e-05,-0.00252053530421108,40,0.2,152.859503865242
2941,4,6,-115.29740132911391,12288,155.53164556962025,0.01491391658782959,6.194087e-05,0.0,88.77445220947266,-4.6146292179822925,1e-05,-0.0018353274732362478,50,0.2,179.29767036437988
3433,4,7,-118.88249151648353,14336,156.34065934065933,0.0441623330116272,0.00012104126,0.0,58.332908630371094,-4.614514148235321,1e-05,-0.002667655367986299,60,0.2,128.08686060905455
3950,4,8,-119.32705915000001,16384,154.13,-0.007288455963134766,9.521577e-05,0.0,95.66832733154297,-4.614360892772675,1e-05,-0.002313264709664509,70,0.2,188.68062167167665
4463,4,9,-116.74052463000004,18432,150.98,-0.01333928108215332,0.00010836849,0.0,78.957763671875,-4.614199990034104,1e-05,-0.0025951756004360506,80,0.2,158.33394412994386
4973,4,10,-121.78016861000002,20480,152.16,0.02306753396987915,9.0082525e-05,0.0,82.77740478515625,-4.614039468765259,1e-05,-0.002093031306139892,90,0.2,172.57321376800536
5485,4,11,-118.68913880000002,22528,149.98,-0.00397181510925293,6.7063025e-05,0.0,89.28071594238281,-4.613863337039947,1e-05,-0.0018827775893441867,100,0.2,186.68890557289123
5985,4,12,-121.93188390000002,24576,150.72,0.0027241110801696777,8.666815e-05,0.0,69.84088897705078,-4.613790470361709,1e-05,-0.002141374524217099,110,0.2,143.7984108686447
6496,4,13,-121.47597273,26624,146.18,0.0389477014541626,9.836463e-05,0.0,76.25354766845703,-4.613620711863041,1e-05,-0.0025033103898749686,120,0.2,158.00156745910644
7013,4,14,-117.41152552999996,28672,141.35,0.031076550483703613,0.00010965485,0.0,85.34097290039062,-4.613405627012253,1e-05,-0.002557917158992495,130,0.2,167.73363327980042
7508,4,15,-117.82009695,30720,143.6,-0.01310110092163086,9.127078e-05,0.0,81.78650665283203,-4.61325202435255,1e-05,-0.002309787679405417,140,0.2,176.1582808494568
8012,4,16,-119.66166957999998,32768,147.67,-0.010953307151794434,0.00010455944,0.0,86.9544906616211,-4.613122022151947,1e-05,-0.0023330226962571033,150,0.2,162.06800785064698
8521,4,17,-118.94392802,34816,147.41,0.002824246883392334,7.219135e-05,0.0,77.39765167236328,-4.613077662885189,1e-05,-0.0020352255116449667,160,0.2,139.63685331344604
