time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
466,4,1,-132.13021284615385,151.69230769230768,2048,,,,,,,,,,
951,4,2,-123.40657725,162.95833333333334,4096,0.2,0.030682265758514404,1e-05,99.16460418701172,10,-0.002018233139824588,-4.61508201956749,181.58045988082887,6.9733855e-05,0.0
1461,4,3,-118.77325910256408,156.48717948717947,6144,0.2,-0.010257840156555176,1e-05,69.64119720458984,20,-0.002124085169634782,-4.6149910047650335,132.33362340927124,0.000107352505,0.0
1969,4,4,-122.9683934230769,155.84615384615384,8192,0.2,-0.006607770919799805,1e-05,70.02559661865234,30,-0.0022373722415068185,-4.614872129261494,149.7893070936203,9.7820564e-05,0.0
2487,4,5,-121.45449012121212,154.53030303030303,10240,0.2,-0.01144421100616455,1e-05,90.2173843383789,40,-0.001534350656584138,-4.614768531918526,187.41041641235353,4.3341308e-05,0.0
2986,4,6,-115.84954283750001,153.35,12288,0.2,0.04598033428192139,1e-05,91.31634521484375,50,-0.0023889555523055606,-4.614692816138268,159.79890971183778,0.000100824866,0.0
3482,4,7,-117.97528135483871,153.27956989247312,14336,0.2,-0.0026994943618774414,1e-05,49.48123550415039,60,-0.0027640276923193595,-4.614527617394924,123.71037201881408,0.00016565868,0.0
3991,4,8,-116.65550017999998,150.66,16384,0.2,-0.001341104507446289,1e-05,93.38086700439453,70,-0.001632169261574745,-4.614306828379631,178.15886816978454,5.5779237e-05,0.0
4488,4,9,-113.79603476,147.73,18432,0.2,0.00921475887298584,1e-05,83.24314880371094,80,-0.0023955536424182357,-4.614207416772842,168.26887140274047,9.5839816e-05,0.0
4995,4,10,-117.99574661000001,146.53,20480,0.2,0.022200345993041992,1e-05,73.8686752319336,90,-0.002203807220212184,-4.6140864714980125,154.24937353134155,0.000105255516,0.0
5506,4,11,-117.32866382,147.39,22528,0.2,-0.005274653434753418,1e-05,91.29959106445312,100,-0.0019627529574790968,-4.613948239386081,184.12773699760436,6.973033e-05,0.0
