time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/loss,train/explained_variance,train/clip_fraction
1,-195.28549999999998,2048,4,442,227.55555555555554,,,,,,,,,,
2,-209.5648728125,4096,4,891,243.25,-0.0017181318035000004,1e-05,10,196.09300675392151,8.997184e-05,-3.931776025891304,0.2,107.85853576660156,-0.05406665802001953,0.0
3,-230.81472113636363,6144,4,1335,274.45454545454544,-0.0016866302736161741,1e-05,20,194.6940050125122,8.008088e-05,-3.931697891652584,0.2,103.40690612792969,-0.05672132968902588,0.0
4,-194.54986568571428,8192,4,1819,232.37142857142857,-0.0014785739513172302,1e-05,30,174.33648443222046,8.6695276e-05,-3.9316318407654762,0.2,84.16605377197266,-0.025419950485229492,0.0
5,-188.4056333255814,10240,4,2266,229.11627906976744,-0.002225110611470882,1e-05,40,166.19100198745727,0.00014345878,-3.9315017484128476,0.2,80.89339447021484,-0.020848512649536133,0.0
6,-187.10326743137253,12288,4,2719,231.05882352941177,-0.001433215584984282,1e-05,50,156.76191034317017,6.863955e-05,-3.9313075080513955,0.2,76.33175659179688,-0.019440531730651855,0.0
7,-188.12003547457627,14336,4,3163,242.8135593220339,-0.0018151861841033679,1e-05,60,153.0871500968933,0.00011108056,-3.93113049864769,0.2,74.94620513916016,-0.020852327346801758,0.0
8,-182.84672255223882,16384,4,3605,242.43283582089552,-0.001688929641386494,1e-05,70,127.96672022342682,0.00010720448,-3.9310999758541585,0.2,62.363380432128906,-0.008392810821533203,0.0
9,-177.00772762820517,18432,4,4070,232.24358974358975,-0.0013783792586764322,1e-05,80,142.42124180793763,7.5354095e-05,-3.9309952422976493,0.2,60.72124481201172,-0.009486198425292969,0.0
10,-179.09682818181818,20480,4,4533,232.17045454545453,-0.0014953762540244498,1e-05,90,173.49848914146423,6.50025e-05,-3.9309161238372328,0.2,85.78580474853516,0.03720355033874512,0.0
11,-177.23982539361702,22528,4,4964,228.95744680851064,-0.0019282777077023639,1e-05,100,177.3372332572937,9.3197625e-05,-3.930728390812874,0.2,86.4696273803711,-0.05536925792694092,0.0
12,-177.69474405000005,24576,4,5427,232.09,-0.0016378085885662586,1e-05,110,165.62439589500428,7.702786e-05,-3.9303683124482633,0.2,81.829833984375,-0.02064800262451172,0.0
13,-178.67317283,26624,4,5878,234.91,-0.0013862220643204638,1e-05,120,156.233398103714,6.602271e-05,-3.9301791228353977,0.2,73.80332946777344,-0.11547684669494629,0.0
14,-170.06419004000003,28672,4,6345,223.89,-0.001589890015020501,1e-05,130,159.16809339523314,8.655901e-05,-3.929948756098747,0.2,85.6436996459961,-0.01900029182434082,0.0
15,-170.45842604999999,30720,4,6821,224.55,-0.001461814166395925,1e-05,140,179.0616663455963,6.7187444e-05,-3.929395305365324,0.2,91.26407623291016,0.08406972885131836,0.0
16,-169.12185535000003,32768,4,7283,224.59,-0.002450373605097411,1e-05,150,167.74511733055115,0.00018133601,-3.9291695803403854,0.2,82.55504608154297,0.00740581750869751,0.0
17,-160.25333271999997,34816,4,7759,206.06,-0.0015447119265445508,1e-05,160,140.98433055877686,8.6050335e-05,-3.9285633116960526,0.2,65.6143569946289,0.002245664596557617,0.0
18,-154.69758095,36864,4,8277,194.85,-0.001869800487475004,1e-05,170,156.41174442768096,0.00010068194,-3.928071743994951,0.2,78.3426742553711,-0.07538473606109619,0.0
19,-151.15588827000002,38912,4,8746,189.86,-0.0021399640187155454,1e-05,180,154.14291224479675,0.00012951481,-3.9273900248110296,0.2,77.7835693359375,-0.036733388900756836,0.0
20,-133.87978417,40960,4,9259,166.48,-0.002076638441940304,1e-05,190,185.51536498069763,0.00012224284,-3.9269807159900667,0.2,91.43257904052734,0.028598129749298096,0.0
21,-126.89174969000001,43008,4,9722,163.81,-0.0021812845843669493,1e-05,200,153.32638010978698,0.00013991285,-3.9254871018230917,0.2,68.25503540039062,-0.11183404922485352,0.0
22,-117.58071594,45056,4,10218,153.07,-0.0021141584918950686,1e-05,210,123.25247499942779,0.00017351753,-3.9257079735398293,0.2,61.94034194946289,-0.01619279384613037,0.0
23,-109.5717302,47104,4,10723,141.64,-0.0016389251686632633,1e-05,220,140.16712069511414,7.7522185e-05,-3.9250066757202147,0.2,69.9072494506836,0.016669094562530518,0.0
24,-106.33458571999999,49152,4,11198,139.91,-0.001665149337350158,1e-05,230,150.18975293636322,7.887275e-05,-3.9248560458421706,0.2,70.87862396240234,0.17349684238433838,0.0
25,-100.51353918000002,51200,4,11706,133.84,-0.0013343771606741939,1e-05,240,146.0644404888153,6.984189e-05,-3.923779438436031,0.2,76.25114440917969,-0.16488325595855713,0.0
