rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss
185.7,4,1,2048,26.962169700000004,411,,,,,,,,,,
193.0,4,2,4096,27.35037942857143,872,10,-0.0019181898300303147,3.4531214237213135,1e-05,7.761095e-05,0.0,-4.615077197551727,-0.0809028148651123,0.2,6.761056181788445
181.3030303030303,4,3,6144,25.704619909090912,1342,20,-0.0021318552229786293,3.300936460494995,1e-05,0.00011589969,0.0,-4.614970810711384,-0.04783022403717041,0.2,7.592651455104351
183.8409090909091,4,4,8192,25.033954704545454,1808,30,-0.0018451100077072624,3.814081907272339,1e-05,6.563487e-05,0.0,-4.614875850081444,-0.06628072261810303,0.2,7.25533489510417
184.38181818181818,4,5,10240,25.094676272727277,2259,40,-0.002708739681111183,2.731948137283325,1e-05,0.00015214214,0.0,-4.614778919517994,-0.1880723237991333,0.2,4.773513066768646
182.37313432835822,4,6,12288,24.847446253731345,2725,50,-0.00220100592559902,3.309784412384033,1e-05,0.000101610145,0.0,-4.614624640345573,0.14073514938354492,0.2,5.940549225360155
182.53846153846155,4,7,14336,24.761944230769235,3185,60,-0.0025254787542507984,2.6950302124023438,1e-05,0.000111984904,0.0,-4.614504747092724,0.2679213285446167,0.2,5.376116678863764
181.96666666666667,4,8,16384,24.304912366666667,3652,70,-0.001779514565714635,2.5328457355499268,1e-05,7.8141806e-05,0.0,-4.614340363442897,-0.13501155376434326,0.2,5.704017728567123
181.32,4,9,18432,23.904604849999995,4120,80,-0.002033313739229925,2.792962074279785,1e-05,9.47433e-05,0.0,-4.614220102131367,-0.08673346042633057,0.2,5.992224171757698
181.93,4,10,20480,23.970585019999998,4579,90,-0.002439205819973722,2.464966297149658,1e-05,0.00011037753,0.0,-4.6141162544488905,-0.09200608730316162,0.2,5.743979698419571
179.86,4,11,22528,23.58413164,5041,100,-0.002366299025743501,1.4436273574829102,1e-05,0.000109551474,0.0,-4.613928006589413,0.09664738178253174,0.2,5.906455333530903
181.62,4,12,24576,23.4199011,5496,110,-0.001651462358131539,3.1744649410247803,1e-05,5.4335484e-05,0.0,-4.613701473176479,-0.12165451049804688,0.2,7.734788103401661
180.87,4,13,26624,23.734780419999996,5965,120,-0.0019717795090400613,2.350754499435425,1e-05,8.1496226e-05,0.0,-4.61365709900856,-0.08617186546325684,0.2,4.919941991567612
181.17,4,14,28672,23.81137464,6434,130,-0.0019469540049612988,3.526700258255005,1e-05,8.0399914e-05,0.0,-4.6135055243968965,0.05761837959289551,0.2,7.6654758006334305
181.81,4,15,30720,24.08930082,6908,140,-0.0017097209129133262,2.7664084434509277,1e-05,5.9847982e-05,0.0,-4.613508388400078,0.1452476978302002,0.2,6.669134858250618
180.62,4,16,32768,23.669133889999998,7378,150,-0.002628256243770011,2.974066734313965,1e-05,0.0001239698,0.0,-4.613226878643036,-0.302579402923584,0.2,7.745907932519913
183.67,4,17,34816,24.328333500000003,7836,160,-0.0026170428442128467,3.0867974758148193,1e-05,0.0001270783,0.0,-4.613129404187203,0.34855711460113525,0.2,5.884528793394566
181.01,4,18,36864,23.935113590000004,8303,170,-0.00268251073139254,3.7908244132995605,1e-05,0.00016539989,0.0,-4.6128123909235,-0.09376835823059082,0.2,6.134439999610185
179.54,4,19,38912,23.990586040000004,8771,180,-0.0019505522599502002,3.1198105812072754,1e-05,7.6583994e-05,0.0,-4.61291337609291,-0.00039398670196533203,0.2,6.559578985720873
178.47,4,20,40960,23.86486908,9247,190,-0.0019724493235116825,3.0425336360931396,1e-05,8.72832e-05,0.0,-4.61275779157877,0.021129965782165527,0.2,6.419235706329346
177.72,4,21,43008,24.265283169999996,9717,200,-0.0016291381529299543,4.19150447845459,1e-05,5.7864876e-05,0.0,-4.612820897996426,0.10030698776245117,0.2,6.63701227158308
175.57,4,22,45056,23.898010709999998,10186,210,-0.0015002944430307253,3.3627512454986572,1e-05,5.1410578e-05,0.0,-4.61289249509573,0.19731056690216064,0.2,6.640719255059958
176.98,4,23,47104,23.982371980000003,10641,220,-0.0015262238586728927,4.119243144989014,1e-05,5.658006e-05,0.0,-4.612573719024658,0.1688549518585205,0.2,7.945483012497425
176.43,4,24,49152,23.950355109999997,11102,230,-0.0023827367534977385,3.2642486095428467,1e-05,0.00013306682,0.0,-4.612346038222313,0.29791224002838135,0.2,6.402132225036621
175.26,4,25,51200,23.94251755,11577,240,-0.0022567144085769543,3.710312843322754,1e-05,0.00012117345,0.0,-4.612356020510196,0.28811168670654297,0.2,7.096572989225388
